ngram,keyword_occurrences,papers_with_ngram,occurrence_share_pct,avg_score,avg_physics_boost,avg_rank
1,16792,11052,3.2154,0.7199,0.0507,2.66
2,165008,34764,31.5962,0.7392,0.0765,5.13
3,334107,34815,63.9758,0.7564,0.0853,9.66
4,5288,2383,1.0126,0.7224,0.0674,9.10
5,796,416,0.1524,0.6989,0.0632,8.59
6,209,108,0.0400,0.7212,0.0664,8.64
7,23,11,0.0044,0.7530,0.0800,8.52
8,10,9,0.0019,0.7319,0.0580,9.90
9,2,2,0.0004,0.7729,0.0600,12.50
10,2,2,0.0004,0.7474,0.0600,6.00
11,1,1,0.0002,0.8131,0.1200,15.00
13,2,1,0.0004,0.6865,0.0000,10.50
