keyword_rank,keyword_occurrences,papers_with_rank,avg_score,avg_base_score,avg_physics_boost
1,34816,34816,0.7544,0.6627,0.0917
2,34816,34816,0.7543,0.6646,0.0896
3,34816,34816,0.7513,0.6647,0.0866
4,34816,34816,0.7477,0.6646,0.0831
5,34816,34816,0.7450,0.6645,0.0805
6,34816,34816,0.7746,0.6740,0.1005
7,34816,34816,0.7798,0.6758,0.1040
8,34816,34816,0.7733,0.6750,0.0983
9,34816,34816,0.7632,0.6731,0.0901
10,34816,34816,0.7533,0.6716,0.0817
11,34816,34816,0.7442,0.6700,0.0742
12,34816,34816,0.7356,0.6681,0.0674
13,34816,34816,0.7279,0.6665,0.0614
14,34816,34816,0.7211,0.6647,0.0564
15,34816,34816,0.7149,0.6630,0.0519
